,usr,dte,rte,cmt,itm,opt
921,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
922,wes*******,2018.07.06,100%,꿀고구마 1주일 패키지 (130gx7,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
923,mil*******,2018.07.02,100%,맛은 그닥인데... 간편해서 좋아요..... 손쉽게 먹을수 있어서 좋네요.,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
924,smh*******,2018.07.01,80%,달달한 것이 먹기 좋아요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
925,ejk*******,2018.06.19,60%,"빠른배송 굿

좀 싸게 부탁해요

기대가 컸는데...약간 실망 ㅜ",(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
926,neo*******,2018.06.16,100%,싸게 정말 잘 샀어요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
927,jol*******,2018.06.14,100%,고구마는 생각보다 별로라고 하네요... 딸아이가 먹고싶다고 구입했는데 더이상 안먹겠다고 해서 나머지는 제가 먹어야 할드슈ㅠㅠ 개인적인 기호도 차이가 있을것 같은 제품이에요...,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
928,jej*******,2018.06.07,100%,가격도 좋고 배송도 빠르고 좋아요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
929,duo*******,2018.06.07,100%,잘 받았습니다. 감사합니다.,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
930,ehr*******,2018.05.30,100%,간식으로 주니 아이가 좋아하네요.달콤한데 묵직한 맛이네요. 간식으로 추가 구매할 예정입니다.,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
931,mom*******,2018.05.29,100%,단호박 맛있어요~~~,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
932,cca*******,2018.05.24,100%,생각한 맛이 아니에요 저는 단호박이 더 맛있더라구요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
933,syh*******,2018.05.10,100%,고구마맛이 진하게나고 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
934,s2j*******,2018.05.05,60%,무난한 고구마 맛이에요. 간단하게 먹기 좋을거 같아요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
935,kko*******,2018.05.03,100%,사진 양은 좀 적지만 맛은 있습니다 먹기도 간편하고 어디서든 먹을수있어 좋아요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
936,duo*******,2018.05.03,100%,물건 잘 받았습니다. 감사합니다.,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
937,aua*******,2018.04.26,100%,잘 받았습니다. 빠른 배송,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
938,jja*******,2018.04.25,100%,"간편한 아침 모닝죽 꿀고구마


맛있어요 ~~~

강추합니다",(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
939,aos*******,2018.04.12,100%,맛있습니다 배송도 빠르고 좋네용,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
940,hid*******,2018.04.05,100%,우유죽보단 못하지만 그럭저럭,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
941,woo*******,2018.04.03,100%,먹기 편하게 되어 있네요,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
942,486*******,2018.03.30,60%,간편히 먹기는 좋은데 좀 짜네요ㅎ,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
943,duo*******,2018.03.22,100%,잘 받았습니다. 감사합니다.,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
944,cyh*******,2018.03.19,100%,꿀고구마 맛도 좋고 휴대용으로 가지고 다니기 좋아서 출근시간에 챙겨먹고 있어요~ 추천합니당!,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
945,duo*******,2018.03.08,100%,감사합니다. 잘 받았습니다.,(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
946,rud*******,2018.02.22,100%,"모닝죽 꿀고구마랑 귀리 , 단호박 먹어봤는데 꿀고구마가 제일 괜찮아요",(3+랜덤증정)간편한 아침 모닝죽 꿀고구마(130gx7개입)/80kcal,
947,alz*******,2018.07.06,100%,초꼬릿 맛 약간나고 맛있어요,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
948,eye*******,2018.06.28,100%,정말 요긴하게 잘 쓰고 있어요,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
949,coz*******,2018.06.17,20%,어이가 없네요. 택배기사는 주소를제대로 보지도 않고 배송을 하나봐요? 일주일이 지나도 안와서 전화하니 적반하장으로 반말찍찍하며 옆에 건물 가보라고 하네요. 택배기사 개인의 잘못이라기엔 그 업체를 쓰는 곳에서도 관리를 잘해야하는거 아닌가 싶은데요. 기분 나빠서 어떻게 해야할지를 모르겠네요,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
950,z69*******,2018.06.17,100%,흐으응ㅁ 좀 달앗어요.,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
951,lov*******,2018.05.14,100%,잘받았습니다 감사합니다,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
952,yg3*******,2018.05.05,100%,우유 넣어먹우면 진짜 웬만한 초코우유보다 훨씬훨씬 맛있음,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
953,sem*******,2018.04.03,100%,이것저것 고민하고 비교해보다가 후회없이 질렀습니다,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
954,yh9*******,2017.12.11,80%,배부르고 좋아요 하하,밀스 라이트 벨벳카카오(52gx7개)/175kcal,
955,chu*******,2018.06.05,100%,"사진 귀욤귀욤 천연조미료 세트 - 실용성, 가격, 데코용까지 셋다 ok

왠지 결혼 소식이 많아지는 계절
집들이 선물로 괜찮은  상품을 이마트몰에서 발견 !!!!

집에 생강가루가 떨어져서 
생강분말 사려고 하는데.. 적은 그램수도 왜케 비싸지 ??하고 
검색 검색 하다가 발견한

인테이크 천연 조미료 세트 ! 

올~ 좋은데?
생강가루 하는 사는 가격에 천연 조미료가 줄줄이~~ 
ㅋㅋㅋㅋ 득템이라고 생각되어 바로 주문! 

형제자매 제품이 뭐가 있나 했더니 
천연 허브와 천연향신료 세트가 더 있더라고요.
두세트 하면 더",[12종set]에센셜 허브+천연조미료 세트+쇼핑백/총중량 248g,
956,bbo*******,2018.02.02,100%,알차게 구성되어 있어서 선물용으로 좋네요!,[12종set]에센셜 허브+천연조미료 세트+쇼핑백/총중량 248g,
957,myd*******,2018.02.10,100%,맛 괜찮아요! 좋아요!!,(신제품) 밀스 라이트 로얄밀크티(45gx7개)/175kcal,
958,tom*******,2018.01.21,100%,잘받앗습니다! 하루 더디게왔어요,(신제품) 밀스 라이트 로얄밀크티(45gx7개)/175kcal,
959,bad*******,2017.09.16,100%,맛있고 간편하게 먹기 좋아요!,(신제품) 밀스 라이트 로얄밀크티(45gx7개)/175kcal,
960,jej*******,2017.08.30,100%,배송도 빠르고 상품잘받았습니다,(신제품) 밀스 라이트 로얄밀크티(45gx7개)/175kcal,
961,hoa*******,2017.06.07,100%,좋은가격에 잘 받았어여^^,(신제품) 밀스 라이트 로얄밀크티(45gx7개)/175kcal,
962,hag*******,2017.04.20,100%,"가격 저렴히 구매한듯~ 
다이어트 효과 좀 볼수 있을지는... ㅡㅜ",(신제품) 밀스 라이트 로얄밀크티(45gx7개)/175kcal,
963,wes*******,2018.07.06,100%,"신세계몰  
(신제품)간편한 아침 모닝죽 컵형 까르보나라(30gx7개)/130kcal",(3+랜덤증정)간편한 아침 모닝죽 컵형 까르보나라(30gx7개)/130kcal,
964,hon*******,2018.05.10,100%,밤에 단거 먹고 싶을 때 야식 대신 최고,(신제품) 통귀리가 듬뿍 모닝 귀리 쉐이크(50gx12개)/208kcal,
965,siw*******,2018.04.05,100%,"코코넛보틀 맛이 미숫가루와 비슷하면서도 고급스런맛과 느낌으로 맛나게 먹고있어요.흠이라면
조금 비싸단 느낌 조금만 싸고 왕창 사둘텐데",(신제품) 통귀리가 듬뿍 모닝 귀리 쉐이크(50gx12개)/208kcal,
966,sem*******,2018.04.03,100%,이것저것 고민하고 비교해보다가 후회없이 질렀습니다,(신제품) 통귀리가 듬뿍 모닝 귀리 쉐이크(50gx12개)/208kcal,
967,bbo*******,2018.07.15,60%,괜찮은데 좀 질리네요 많이 샀으면 큰일날뻔.. 너무 걸쭉하고..,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
968,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
969,cgh*******,2018.07.06,100%,아침에 먹기 편해요,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
970,smh*******,2018.07.01,80%,바쁜 아침에 식사대용으로 좋아요,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
971,ban*******,2018.05.31,100%,생각보다 맛이 아주 좋아요^^,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
972,aua*******,2018.04.26,100%,잘 받았습니다. 빠른 배송,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
973,hid*******,2018.04.14,100%,아무때나 출출할때 간편하게 먹지 좋네요.우유가 젤 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
974,aos*******,2018.04.12,100%,배송이 빠르고 좋습,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
975,hid*******,2018.04.05,100%,타락죽이라고 하나요.맛있어요,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
976,cha*******,2018.02.07,100%,"배송 빠르고 맛도 달당하고 좋아요. 아침 끼니로는 1개, 저녁으로는 2개 막으니까 딱 좋네요. 중간 중간 배고플 때 먹어도 좋고요. 
무엇보다 냄새도 안나?서 간편하게 먹어서 제일 좋아요
 우유 타락죽에 대해서 궁금해서 시켜봤는데 너무 달지도 않고 딱 고소한 우유 느낌도 나고 쌀알 같은 느낌도 있고 꽤 좋네요.",(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
977,srh*******,2018.02.06,100%,배송빨라요 감사해요,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
978,lub*******,2018.01.29,100%,배송도 빠르고 간편해서 애용하고있는데 신제품 우유맛 짱짱이에요. 우유맛이라길래 뭔가했는데 타락죽 맛이더군요. 앞으로도 자주 애용할게요~,(3+랜덤증정)간편한 아침 모닝죽 우유/타락죽(130gx7팩)/100kcal,
979,wes*******,2018.07.06,100%,"신세계몰  
간편하게 후루룩 모닝수프 3종 체험팩(각 2개, 총 6","간편하게 후루룩 모닝수프 3종 체험팩(각 2개, 총 6개)",
980,neo*******,2018.06.16,100%,싸게 정말 잘 샀어요,"간편하게 후루룩 모닝수프 3종 체험팩(각 2개, 총 6개)",
981,whi*******,2018.03.19,20%,"감자  가루 뭉쳐다니고 잘 풀어지지 않네요
어찌어찌 해서  먹긴했는데  건강에는 좋겠지만 
맛은 진짜  없네요",(3+랜덤증정)간편한 아침 모닝 수프 3종(양송이/감자/채소)(30gx7개입),[구매옵션] 맛 선택:모닝수프 감자
982,set*******,2018.07.11,100%,"정말 누룽지 같아요. 달지 않아서 좋고요, 생각보다 든든합니다.",(3+랜덤증정)간편한 아침 모닝죽 누룽지(130gx7팩)/60kcal,
983,min*******,2018.06.23,100%,빠른배송 너무 감사합니다,(3+1제외)한끼 버터치킨 커리(120g) 5개+스파이시 비프커리(120g) 5개,
984,neo*******,2018.06.16,100%,싸게 정말 잘 샀어요,(3+1제외)한끼 버터치킨 커리(120g) 5개 / 185kcal,
985,eye*******,2018.06.28,100%,정말 요긴하게 잘 쓰고 있어요,(신제품) 밀스 라이트 스윗그레인(48gx7개)/175kcal,
986,jek*******,2018.06.26,80%,고소하긴 한데 잘 따져보면 카페라떼보다 가격도 비싼데 단백질도 더 적습니다.,(신제품) 밀스 라이트 스윗그레인(48gx7개)/175kcal,
987,kan*******,2018.03.25,100%,간편하게 아침 식사대용으로 먹고있는데 좋은 것 같아요,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
988,hks*******,2018.03.06,100%,감사합니다 감사합니다,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단팥
989,hks*******,2018.03.06,100%,감사합니다 감사합니다,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
990,hks*******,2018.02.02,100%,맛있어요. 추천합니다.,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
991,hks*******,2018.02.02,100%,맛있어요. 추천합니다.,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:귀리
992,hks*******,2018.02.02,100%,맛있어요. 추천합니다.,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:검은콩
993,hks*******,2018.02.02,100%,맛있어요. 추천합니다.,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단팥
994,rev*******,2017.10.28,100%,아침을 건강하게 좋아요,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:귀리
995,ksw*******,2017.07.06,100%,제입맛엔 호박이 최고에요  여름이라데우지않고 그냥먹어도좋으네요,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
996,ken*******,2017.04.02,100%,맛있어요 아침 굶지않아서 좋아요,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
997,sag*******,2017.03.17,100%,저렴하게 구매했을 때가 그립네요. 단호박이 젤 나아요.,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
998,wjd*******,2017.03.17,100%,빈속에 든든한게 부담없이 마시기 좋아용,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
999,eun*******,2017.03.01,100%,단호박맛 맛나요 고구마는 별로..,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:06단호박2주+고구마2주
1000,uio*******,2017.02.15,100%,호박죽보다 묽은 느낌임 마니 달지않아 좋음,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단팥
1001,win*******,2017.02.02,80%,맛있어요 간편하구 아침에 먹기 좋아요,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:01단호박1개월
1002,oh1*******,2017.01.28,100%,간편하게먹기좋아요.,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:01단호박1개월
1003,hjj*******,2017.01.23,100%,배송이 빠르니깐 넘 좋네요 아직 맛은 안봤지만 ㅎㅎ,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:04단호박2주+단팥1주+고구마1주
1004,a22*******,2017.01.06,100%,두번째구매입니다. 입맛없는 아이에게 하나 주면 제 맘에 더 든든하네요. 저희집 아이들 입맛에는 딱입니다.,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
1005,win*******,2017.01.05,100%,선물로 보냈는데 아주맛있다고 좋아하네요^^~,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:고구마
1006,evi*******,2016.12.15,100%,아침에 간편하게 먹기 정말 좋아요,모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단팥
1007,nar*******,2016.11.30,100%,"사진 죽이 너무 짜요. 세상에 공복에 그 죽 먹고, 점심 전에 물을 1리터를 마셨어요. 
호박100프로라고해서 건강식인줄알았는데 정백당,정제염,덱스트린에
분유까지ㅜㅜ 이건 그냥 편의점에서 파는 캔 호박죽수준입니다. 혹시나 저처럼 건강식생각하고 간편죽 주문하시는거면 비추입니다.비싸서 좋은건가했는데 유통기한이 1년이나. ㅜㅜ 이건 그냥
레또르트식품인거같아요.",모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
1008,jul*******,2016.11.05,100%,"호박 안좋아하는데,맛나고 좋습니다.",모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
1009,han*******,2015.12.17,100%,"단호박은 많이 달지않고 저는 딱 좋네요ㅋ
간식용이나, 아침에 먹으려고 샀는데 만족입니다 
다음번엔 단팥도 한번 주문해봐야겠네요 
고구마는 혹시 언제나올까요~~~~~~~? 기대기대",모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
1010,jin*******,2015.12.17,100%,"아침에너무 바빠서 출근할때 밥을 절-대 먹고 갈 수가없어서 주문해봤는데 
단호박죽 하나씩 들고다니면서 먹으니 너무 간편하고 좋네요
ㅋㅋㅋ회사사람들이 서로 탐냈어요!! 다먹으면 또 주문할게요 감사합니다.",모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단호박
1011,ffl*******,2015.07.01,60%,"빠른 배송은 환영할 일이나 잘못된 배송은 느린 배송만 못하죠.
팥빙수도 만들어서 먹으려고 '단팥'은 주문했으나 배송된건 '고구마'..
정확하게 배송되도록 신경써주시기 바랍니다.

배송 1점.
가격, 품질은 8점 드리겠습니다.",모닝죽 단호박/고구마/단팥 1개월 패키지(130gx28개입),[구매옵션] 맛선택:단팥
1012,kat*******,2018.04.19,100%,매번 명절이나 선물할때 구매하는데 제가 먹으려고 한상다 더 구매했는데ㅜ몇몇개가 쩐내가 나네요.,[손잡이상자] 닥터넛츠 오리지널뉴(28gx30팩)+프리미엄골드(28gx30팩),
1013,iro*******,2018.02.19,60%,"오트리 고메넛츠 먹다가 행사 중이라 주문했는데, 견과가 신선하지 않아서 실망입니다. 게다가 포장 문제인지 한 봉지는 뜯어져서 상자에 다 흘렀더군요.
프리미엄 견과를 조금 저렴한 가격에 구매했다고 생각하고 주문했으나 결국은 가격만한 품질인 것 같습니다.",[손잡이상자] 닥터넛츠 오리지널뉴(28gx30팩)+프리미엄골드(28gx30팩),
1014,hsi*******,2018.02.19,20%,"상자에 하얗게 오래된것처럼 되어있고
박스 하나는 아래 포장이 뜯어지고
모서리가 많이 찍혔네요.
선물할건데 속상했어요ㅡㅜ 오래된거 드리는것같아서ㅡㅜ",[손잡이상자] 닥터넛츠 오리지널뉴(28gx30팩)+프리미엄골드(28gx30팩),
1015,you*******,2017.12.18,100%,닥터넛츠... 2가지 종류로...,[손잡이상자] 닥터넛츠 오리지널뉴(28gx30팩)+프리미엄골드(28gx30팩),
1016,eld*******,2017.10.11,100%,배송빠르고 견과류 맛있어요,[손잡이상자] 닥터넛츠 오리지널뉴(28gx30팩)+프리미엄골드(28gx30팩),
1017,wke*******,2017.09.23,100%,추석선물로좋은상품저렴하게구매했어요,[손잡이상자] 닥터넛츠 오리지널뉴(28gx30팩)+프리미엄골드(28gx30팩),
1018,ooo*******,2018.07.11,100%,원하는 맛만 골라 주문할 수 있어서 좋네요. 배송 정확했고 포장 꼼꼼했어요.,"모닝죽 3종(단호박,검은콩,단팥)선물세트/총중량 2,730g",
1019,you*******,2018.06.28,100%,"식사대용으로 좋아요
맛도 좋고
다요트도 되고^^",(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1020,sad*******,2018.05.29,40%,사진 구매했는데 하나 비닐 찢어진 상태로 박스 내부 다 젖었어요ㅠㅠ 박스 두개로 포장..은 되긴 했는데 ㅠㅠ 박스 젖은거 때문에 상품에 박스 눌러붙고 난리났네요ㅠㅠ,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1021,dhk*******,2018.05.23,100%,"?있어요!!!! 미숫가루 먹는 느낌!

근데 저는 다이어트는 힘들거 같아요 ㅎㅎㅎㅎ

포만감은 딱 좋은데.....

제 입이..... 이러지 말라내요 ㅎㅎㅎ",(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1022,cho*******,2018.04.21,100%,잘받았습니다. 쓱배송,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1023,pok*******,2018.03.25,40%,체험판사길잘한듯. 먹기좀그러네요,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1024,tid*******,2018.02.12,100%,여러가지체험할수있어서좋네요,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1025,hmi*******,2017.12.07,100%,배송도 빠르고 같이온 단호박죽도 맛있습니다. 두유랑 물 넣어서 먹어봤는데 두유 넣었을 때는 든든한거 같습니다. 담에는 하프로 먹어도 충분할 거 같아요.,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1026,djh*******,2017.11.18,100%,핑크맛 제외하고는 급할깨 식사대용으로 좋습니다,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1027,wel*******,2017.11.16,100%,사진 미래식 이길래 체험판구매해봄 음..  매일은 못먹겠어요ㅋ ㅋ그냥 캡슐만들어주세요ㅜ,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1028,jas*******,2017.11.15,80%,"다이어트 해보자고 식사대용으로 사서 
맛있다고 간식으로 먹는 중입니다. 
그래도 균형잡힌 영양(간)식이니까 과자 보단 나은 거겠죠. 
그렇다고 믿고 싶습니다.",(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1029,da2*******,2017.10.11,100%,체험용으로 맛 보려고 구매해봤어요~ 호불호 갈리는 맛 골라낼 수 있어서 좋았어요,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1030,int*******,2017.09.26,60%,사은품으로 주는 프리미엄s가 진짜 못먹겠어요. 슈퍼푸드가 추가로 들어있어서 뭔가 딱딱한것이 들어있는데 그거 씹기가 넘 힘드네요. 다른 5개는 좋네요.,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1031,bad*******,2017.09.16,100%,먹기 넘편하구 맛있어요!,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1032,ych*******,2017.09.15,100%,사은품으로 온건 맛없다네요,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1033,can*******,2017.07.31,100%,늘 주문하는 상품,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1034,jju*******,2017.07.26,100%,브라운이 씹히는 식감도 있고 맛있습니다.,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1035,scb*******,2017.07.01,100%,가격이 너무 비싼것 같아요 그런데 좋아요,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1036,yal*******,2017.06.08,100%,자주 구입하는 상품이에요,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1037,hop*******,2017.06.07,100%,간편하게 먹을수 있어요.,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1038,lep*******,2017.05.17,80%,"처음 사봤는데 우유 넣으면 아무리 흔들어도 확실히 뭉침이 좀 있어요. 저는 젓가락 같은 걸로 깨가면서 먹었는데 좀 불편... 친구 말로는 전용쉐이커 쓰면 괜찮다고 하더라고요. 개인적으론 핑크가 제일 별로였고 코코넛이 제일 좋았어요. 확실히 물 보다는 우유 넣어서 먹었을 때 포만감이 더 길게 가는 듯. 사실 집에서 요리 잘 하는 편이라 꼭 필요한 건 아니었고 그냥 호기심에 산 거였는데, 나중에 많이 바쁠 때 파우치형으로 다시 사보고 싶네요.",(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1039,sup*******,2017.04.21,100%,생각보다 잘 안녹네요 ㅠㅠ,(신제품) 간편한 식사 밀스 드링크(300ml x12개)/덴마크/인테이크,
1040,woo*******,2018.05.26,100%,끼니 대신에 먹기 좋아요,간편한 밀스 3.1 코코넛 보틀 (98gx7개)/400kcal,
1041,sem*******,2018.04.03,100%,이것저것 고민하고 비교해보다가 후회없이 질렀습니다,간편한 밀스 3.1 코코넛 보틀 (98gx7개)/400kcal,
1042,z69*******,2018.06.17,100%,맛있어요. 밥먹기 귀찮은데 배고플때 유용해요.,밀스 라이트 말차라떼(50gx7개)/175kcal,
1043,dld*******,2018.05.17,100%,바쁜 아침에 간편식으로 구매해요,밀스 라이트 말차라떼(50gx7개)/175kcal,
1044,lov*******,2018.05.14,100%,잘받았습니다 감사합니다,밀스 라이트 말차라떼(50gx7개)/175kcal,
1045,yh9*******,2017.12.11,80%,배부르고 좋아요 하하,밀스 라이트 말차라떼(50gx7개)/175kcal,
1046,oho*******,2017.08.01,80%,먹을만해요~~싸고요,밀스 라이트 말차라떼(50gx7개)/175kcal,
1047,gre*******,2018.07.07,100%,뚜껑은 열기 힘들지만 밀폐력이좋을거라생각하고 먹어요,밀스 라이트 카페라떼(50gx7개)/175kcal,
1048,jek*******,2018.07.01,100%,조금 단맛이 강하긴 하지만 괜찮은 것 같습니다. 인테이크 홈페이지보다 이마트가 더 저렴합니다.,밀스 라이트 카페라떼(50gx7개)/175kcal,
1049,z69*******,2018.06.17,100%,맛잇어요. 싸고 간편,밀스 라이트 카페라떼(50gx7개)/175kcal,
1050,sem*******,2018.05.29,100%,고민고민하다가 구매했는데 만족 그 자체입니다,밀스 라이트 카페라떼(50gx7개)/175kcal,
1051,han*******,2018.05.07,100%,밀스 1년넘게 먹고있어요 최고에용,밀스 라이트 카페라떼(50gx7개)/175kcal,
1052,lub*******,2018.05.01,100%,출근길 간편하게 잘 먹고 있습니다. 다른 맛들도 궁금하네요.,밀스 라이트 카페라떼(50gx7개)/175kcal,
1053,sem*******,2018.04.03,100%,이것저것 고민하고 비교해보다가 후회없이 질렀습니다,밀스 라이트 카페라떼(50gx7개)/175kcal,
1054,djh*******,2017.12.16,100%,"식사대용으로 괜찮아요. 
밀스그레인은 양이 좀 많아서 하프로 재구매했네요
사은품으로주신 호박죽도 괜찮네요",밀스 라이트 카페라떼(50gx7개)/175kcal,
1055,yh9*******,2017.12.11,80%,배부르고 좋아요 하하,밀스 라이트 카페라떼(50gx7개)/175kcal,
1056,cli*******,2017.11.03,100%,바쁜아침 식사대용으로 좋아요,밀스 라이트 카페라떼(50gx7개)/175kcal,
